IP_ADDRESS,ACI_POD_ID,ACI_NODE_ID,TENANT_NAME,APPLICATION_NAME,MACRO_SEGMENTATION_ZONE
176.16.0.1,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.2,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.3,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.4,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.5,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.6,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.7,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.8,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.9,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.10,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.11,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.12,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.13,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.14,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.15,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.16,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.17,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.18,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.19,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.20,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.21,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.22,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.23,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.24,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.25,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.26,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.27,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.28,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.29,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.30,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.31,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.32,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.33,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.34,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.35,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.36,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.37,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.38,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.39,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.40,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.41,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.42,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.43,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.44,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.45,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.46,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.47,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.48,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.49,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.50,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.51,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.52,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.53,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.54,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.55,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.56,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.57,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.58,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.59,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.60,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.61,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.62,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.63,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.64,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.65,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.66,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.67,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.68,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.69,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.70,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.71,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.72,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.73,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.74,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.75,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.76,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.77,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.78,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.79,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.80,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.81,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.82,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.83,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.84,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.85,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.86,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.87,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.88,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.89,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.90,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.91,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.92,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.93,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.94,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.95,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.96,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.97,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.98,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.99,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.100,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.101,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.102,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.103,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.104,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.105,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.106,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.107,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.108,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.109,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.110,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.111,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.112,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.113,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.114,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.115,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.116,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.117,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.118,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.119,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.120,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.121,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.122,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.123,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.124,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.125,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.126,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.127,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.128,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.129,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.130,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.131,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.132,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.133,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.134,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.135,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.136,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.137,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.138,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.139,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.140,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.141,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.142,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.143,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.144,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.145,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.146,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.147,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.148,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.149,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.150,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.151,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.152,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.153,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.154,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.155,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.156,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.157,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.158,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.159,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.160,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.161,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.162,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.163,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.164,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.165,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.166,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.167,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.168,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.169,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.170,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.171,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.172,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.173,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.174,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.175,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.176,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.177,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.178,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.179,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.180,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.181,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.182,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.183,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.184,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.185,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.186,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.187,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.188,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.189,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.190,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.191,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.192,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.193,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.194,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.195,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.196,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.197,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.198,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.199,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.200,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.201,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.202,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.203,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.204,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.205,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.206,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.207,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.208,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.209,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.210,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.211,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.212,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.213,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.214,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.215,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.216,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.217,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.218,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.219,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.220,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.221,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.222,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.223,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.224,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.225,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.226,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.227,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.228,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.229,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.230,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.231,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.232,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.233,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.234,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.235,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.236,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.237,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.238,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.239,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.240,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.241,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.242,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.243,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.244,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.245,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.246,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.247,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.248,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.249,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.250,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.251,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.252,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.253,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.254,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.255,OPEN,OPEN,OPEN,OPEN,OPEN